Nom de la demande:ETPpluvioMakowski
Pas de temps:Mensuel
Date de début:01/10/1970
Date de fin:01/10/2013
Série:84007002

RR_CM:HAUTEUR DES PRECIPITATIONS MENSUELLE (MILLIMETRES)
ETPP_CM:ETP PENMAN MENSUELLE (MILLIMETRES)

NUM_POSTE;AN;MOIS;RR_CM;ETPP_CM;
84007002;1970;10;97.1;58.7;
84007002;1970;11;44.3;20.6;
84007002;1970;12;77.0;12.6;
84007002;1971;1;100.1;17.8;
84007002;1971;2;2.1;44.6;
84007002;1971;3;74.6;73.7;
84007002;1971;4;132.7;87.4;
84007002;1971;5;65.7;118.5;
84007002;1971;6;73.6;152.8;
84007002;1971;7;28.4;165.9;
84007002;1971;8;113.5;142.5;
84007002;1971;9;29.2;94.8;
84007002;1971;10;31.3;47.5;
84007002;1971;11;89.6;26.1;
84007002;1971;12;55.4;22.5;
84007002;1972;1;74.0;26.3;
84007002;1972;2;158.7;42.6;
84007002;1972;3;49.0;58.7;
84007002;1972;4;74.1;117.3;
84007002;1972;5;50.4;135.9;
84007002;1972;6;69.9;137.3;
84007002;1972;7;11.0;192.1;
84007002;1972;8;43.4;140.5;
84007002;1972;9;90.2;89.1;
84007002;1972;10;164.6;49.6;
84007002;1972;11;30.5;24.2;
84007002;1972;12;101.2;12.4;
84007002;1973;1;53.5;21.3;
84007002;1973;2;35.4;42.4;
84007002;1973;3;61.8;81.4;
84007002;1973;4;57.3;113.0;
84007002;1973;5;4.9;134.5;
84007002;1973;6;72.4;158.3;
84007002;1973;7;72.7;170.7;
84007002;1973;8;22.8;145.3;
84007002;1973;9;58.6;103.8;
84007002;1973;10;208.9;50.4;
84007002;1973;11;27.5;27.8;
84007002;1973;12;54.5;26.3;
84007002;1974;1;69.4;20.0;
84007002;1974;2;170.1;33.2;
84007002;1974;3;98.6;53.5;
84007002;1974;4;102.2;82.2;
84007002;1974;5;36.9;128.5;
84007002;1974;6;49.6;147.3;
84007002;1974;7;19.0;191.1;
84007002;1974;8;84.3;151.0;
84007002;1974;9;147.4;75.8;
84007002;1974;10;6.6;49.7;
84007002;1974;11;34.4;28.2;
84007002;1974;12;10.0;26.6;
84007002;1975;1;38.3;21.0;
84007002;1975;2;58.8;26.6;
84007002;1975;3;82.5;64.4;
84007002;1975;4;18.9;97.4;
84007002;1975;5;98.7;133.3;
84007002;1975;6;29.4;151.2;
84007002;1975;7;34.1;174.8;
84007002;1975;8;46.2;144.8;
84007002;1975;9;111.0;72.9;
84007002;1975;10;20.2;49.5;
84007002;1975;11;70.5;27.1;
84007002;1975;12;97.6;12.7;
84007002;1976;1;24.6;32.8;
84007002;1976;2;23.7;31.7;
84007002;1976;3;59.0;67.3;
84007002;1976;4;56.2;85.1;
84007002;1976;5;40.8;137.5;
84007002;1976;6;0.8;164.8;
84007002;1976;7;29.0;176.4;
84007002;1976;8;38.3;128.6;
84007002;1976;9;91.1;81.3;
84007002;1976;10;310.2;32.7;
84007002;1976;11;106.0;24.2;
84007002;1976;12;36.0;12.0;
84007002;1977;1;58.0;16.8;
84007002;1977;2;39.9;23.6;
84007002;1977;3;75.8;55.4;
84007002;1977;4;41.8;96.4;
84007002;1977;5;170.0;93.5;
84007002;1977;6;77.8;125.8;
84007002;1977;7;101.2;135.6;
84007002;1977;8;73.2;112.3;
84007002;1977;9;3.5;83.1;
84007002;1977;10;146.6;42.2;
84007002;1977;11;64.4;17.6;
84007002;1977;12;69.0;15.5;
84007002;1978;1;103.0;15.7;
84007002;1978;2;83.8;26.8;
84007002;1978;3;28.9;67.3;
84007002;1978;4;103.5;76.0;
84007002;1978;5;91.3;111.7;
84007002;1978;6;13.9;134.8;
84007002;1978;7;18.5;148.4;
84007002;1978;8;21.9;130.5;
84007002;1978;9;28.1;108.6;
84007002;1978;10;5.7;57.3;
84007002;1978;11;2.9;16.1;
84007002;1978;12;91.4;10.6;
84007002;1979;1;92.7;15.3;
84007002;1979;2;48.3;32.7;
84007002;1979;3;69.1;60.7;
84007002;1979;4;28.0;96.0;
84007002;1979;5;24.0;134.6;
84007002;1979;6;15.3;165.0;
84007002;1979;7;45.1;196.4;
84007002;1979;8;27.3;151.4;
84007002;1979;9;10.8;99.0;
84007002;1979;10;326.3;49.6;
84007002;1979;11;20.8;21.8;
84007002;1979;12;64.7;6.8;
84007002;1980;1;26.9;15.9;
84007002;1980;2;1.8;31.0;
84007002;1980;3;62.8;52.9;
84007002;1980;4;60.5;104.0;
84007002;1980;5;66.3;101.4;
84007002;1980;6;28.7;142.6;
84007002;1980;7;15.0;158.5;
84007002;1980;8;45.0;139.5;
84007002;1980;9;58.5;87.4;
84007002;1980;10;62.0;44.8;
84007002;1980;11;53.4;20.4;
84007002;1980;12;10.7;12.0;
84007002;1981;1;36.6;23.0;
84007002;1981;2;6.4;28.6;
84007002;1981;3;69.9;51.2;
84007002;1981;4;35.0;88.4;
84007002;1981;5;62.8;115.0;
84007002;1981;6;16.1;179.6;
84007002;1981;7;17.1;177.1;
84007002;1981;8;1.1;153.8;
84007002;1981;9;48.7;93.6;
84007002;1981;10;41.9;44.9;
84007002;1981;11;0.5;26.5;
84007002;1981;12;136.9;21.4;
84007002;1982;1;10.9;21.1;
