Time	Yield
1950	1.7
1951	1.69
1952	1.7
1953	1.65
1954	1.8
1955	1.45
1956	1.17
1957	2.26
1958	2.1
1959	2.06
1960	1.74
1961	1.91
1962	2.51
1963	2.1
1964	2.34
1965	2.52
1966	2.22
1967	2.62
1968	2.72
1969	2.25
1970	2.7
1971	2.7
1972	2.7
1973	2.61
1974	2.9
1975	3.55
1976	2.8
1977	2.5
1978	2.8
1979	2.7
1980	3.3
1981	2.6
1982	2.6
1983	3.3
1984	3.7
1985	3
1986	3.3
1987	3.7
1988	2.7
1989	3.48
1990	3.1
1991	3.02
1992	2.92
1993	3.44
1994	3.36
1995	3.62
1996	3.42
1997	2.08
1998	4.26
1999	3.2
2000	3.5
2001	2.89
2002	3.68
2003	2.67
2004	4.1
2005	3.91
2006	2.9
2007	4.1
2008	4.5
2009	4
2010	4
2011	3.8
2012	4.1
2013	4.3
